alpha logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.4 -4.0 2.0 0.006 8.147 16.031 0.012 102.389 13.644 100.0 20.282 290.892 46.792 8.625 29.822 31.957 8.325 2.293 7.118 15.053 1.883 6.02 29.605
-1.4 -3.5 2.0 0.006 8.147 19.226 0.428 150.122 51.923 100.0 200.226 290.209 43.728 2.206 52.215 27.802 8.169 1.737 4.403 14.812 1.165 3.724 28.972
-1.4 -3.0 2.0 0.006 8.147 21.148 8.622 185.092 149.596 100.0 630.931 288.765 25.131 0.464 72.686 25.457 8.018 1.143 2.6 14.571 0.688 2.199 28.344
-1.4 -2.0 2.0 0.006 8.147 16.628 198.721 251.771 310.881 100.0 1064.505 282.845 5.674 0.023 46.233 24.068 7.873 0.369 1.087 14.247 0.288 0.919 27.444
-1.4 -1.0 2.0 0.006 8.147 7.595 471.028 479.255 177.285 100.0 857.001 281.61 2.807 0.664 15.932 17.25 7.313 0.32 1.274 13.506 0.337 1.078 25.653
-1.4 -4.0 2.0 0.008 8.272 17.193 0.014 103.177 16.413 100.0 25.686 289.69 72.268 11.384 38.319 32.191 8.384 2.952 9.172 15.122 2.427 7.758 29.755
-1.4 -3.5 2.0 0.008 8.272 20.635 0.47 151.503 59.756 100.0 248.261 288.676 67.397 2.915 67.007 28.005 8.256 2.236 5.663 14.906 1.498 4.79 29.18
-1.4 -3.0 2.0 0.008 8.272 22.547 9.141 188.269 165.887 100.0 777.3 286.874 39.046 0.617 93.217 25.643 8.144 1.469 3.337 14.704 0.883 2.822 28.636
-1.4 -2.0 2.0 0.008 8.272 17.351 213.838 264.764 340.189 100.0 1284.501 281.474 9.122 0.036 59.592 23.779 8.003 0.477 1.405 14.388 0.372 1.188 27.755
-1.4 -1.0 2.0 0.008 8.272 7.462 517.709 515.874 210.699 100.0 957.253 281.691 5.022 1.761 21.576 15.769 7.355 0.438 1.766 13.56 0.467 1.493 25.78
-1.4 -4.0 2.0 0.01 8.369 18.119 0.015 103.732 18.421 100.0 30.37 288.611 101.784 14.046 46.197 32.379 8.439 3.575 11.141 15.187 2.947 9.423 29.9
-1.4 -3.5 2.0 0.01 8.369 21.694 0.484 152.563 64.159 100.0 287.426 287.382 94.665 3.602 80.502 28.155 8.332 2.704 6.867 14.992 1.817 5.808 29.372
-1.4 -3.0 2.0 0.01 8.369 23.57 9.08 190.679 171.934 100.0 894.54 285.358 55.2 0.768 111.751 25.751 8.247 1.772 4.031 14.819 1.066 3.41 28.89
-1.4 -2.0 2.0 0.01 8.369 18.045 220.402 275.667 355.982 100.0 1464.683 280.443 13.299 0.051 72.116 23.481 8.104 0.577 1.708 14.502 0.452 1.444 28.007
-1.4 -1.0 2.0 0.01 8.369 7.489 551.928 543.19 238.949 100.0 1034.527 281.754 7.955 3.225 27.152 14.652 7.394 0.552 2.258 13.608 0.597 1.91 25.898
-1.4 -4.0 2.0 0.014 8.515 19.429 0.015 104.575 20.469 100.0 37.667 286.793 170.782 19.065 60.14 32.674 8.538 4.723 14.885 15.309 3.938 12.59 30.174
-1.4 -3.5 2.0 0.014 8.515 23.112 0.461 153.881 65.55 100.0 342.263 285.396 157.745 4.901 103.64 28.342 8.458 3.554 9.142 15.146 2.418 7.732 29.721
-1.4 -3.0 2.0 0.014 8.515 24.972 8.028 193.886 164.168 100.0 1052.466 283.225 93.027 1.06 142.9 25.811 8.406 2.313 5.314 15.011 1.406 4.495 29.324
