Epeak p_NT gamma logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.7 0.1 2.0 -4.0 2.0 0.006 8.147 15.675 0.005 38.558 10.206 100.0 16.662 283.291 44.557 6.045 21.057 31.496 8.655 1.327 3.95 15.429 1.045 3.341 30.351
-1.7 0.25 2.0 -4.0 2.0 0.006 8.147 17.185 0.006 44.672 10.524 100.0 16.97 284.402 44.37 6.221 22.067 31.503 8.623 1.389 4.392 15.394 1.162 3.714 30.324
-1.7 0.4 2.0 -4.0 2.0 0.006 8.147 17.626 0.007 51.909 10.845 100.0 17.141 285.893 43.938 6.467 23.999 31.467 8.57 1.494 5.143 15.335 1.361 4.35 30.253
-1.7 0.1 2.0 -3.5 2.0 0.006 8.147 19.603 0.131 54.324 32.269 100.0 445.831 281.602 23.772 0.322 40.18 30.263 8.507 0.757 1.014 15.26 0.537 0.858 29.602
-1.7 0.25 2.0 -3.5 2.0 0.006 8.147 20.831 0.157 63.611 34.265 100.0 468.945 282.983 23.788 0.336 41.912 29.831 8.432 0.864 1.811 15.198 0.699 1.532 29.437
-1.7 0.4 2.0 -3.5 2.0 0.006 8.147 20.629 0.19 74.419 36.467 100.0 490.214 284.604 24.031 0.364 45.306 29.29 8.34 1.017 2.919 15.113 0.956 2.469 29.231
-1.7 0.1 2.0 -3.0 2.0 0.006 8.147 22.052 1.979 61.451 69.589 100.0 140.38 282.393 41.012 1.554 58.478 29.715 8.57 1.069 2.031 15.118 0.268 1.718 29.941
-1.7 0.25 2.0 -3.0 2.0 0.006 8.147 22.297 2.481 73.674 79.04 100.0 145.791 283.864 40.773 1.597 61.605 29.039 8.518 1.146 2.641 15.023 0.479 2.234 29.864
-1.7 0.4 2.0 -3.0 2.0 0.006 8.147 21.669 3.176 87.943 90.085 100.0 150.737 285.557 40.492 1.669 66.095 28.202 8.445 1.276 3.613 14.913 0.772 3.055 29.73
-1.7 0.1 2.0 -2.0 2.0 0.006 8.147 20.391 45.367 76.908 140.44 100.0 897.797 279.043 4.668 0.013 50.817 30.012 8.392 0.228 0.507 14.872 0.134 0.429 28.942
-1.7 0.25 2.0 -2.0 2.0 0.006 8.147 19.508 63.97 95.171 174.738 100.0 961.233 280.088 5.477 0.022 52.547 29.088 8.294 0.386 1.434 14.739 0.379 1.213 28.679
-1.7 0.4 2.0 -2.0 2.0 0.006 8.147 18.231 88.628 115.693 213.377 100.0 1002.327 282.001 6.801 0.076 53.596 27.76 8.167 0.566 2.488 14.589 0.658 2.104 28.406
-1.7 0.1 2.0 -1.0 2.0 0.006 8.147 11.684 182.542 164.162 115.704 100.0 1160.836 276.555 1.679 0.073 18.556 29.587 8.197 0.163 0.756 14.526 0.2 0.64 27.994
-1.7 0.25 2.0 -1.0 2.0 0.006 8.147 10.49 281.841 199.488 146.843 100.0 1171.268 279.387 3.412 5.242 22.592 27.023 8.008 0.454 2.337 14.289 0.618 1.977 27.605
-1.7 0.4 2.0 -1.0 2.0 0.006 8.147 8.985 361.322 229.509 171.361 100.0 1070.026 284.096 6.031 13.872 28.752 23.722 7.75 0.786 4.17 14.023 1.103 3.527 27.19
